Old Filename,New Filename
101 - I Looked Away.flac,01 - I Looked Away.flac
102 - Bell Bottom Blues.flac,02 - Bell Bottom Blues.flac
103 - Keep On Growing.flac,03 - Keep On Growing.flac
104 - Nobody Knows You When You're Down And Out.flac,04 - Nobody Knows You When You're Down And Out.flac
105 - I Am Yours.flac,05 - I Am Yours.flac
106 - Anyday.flac,06 - Anyday.flac
107 - Key To The Highway.flac,07 - Key To The Highway.flac
108 - Tell The Truth.flac,08 - Tell The Truth.flac
109 - Why Does Love Got To Be So Sad.flac,09 - Why Does Love Got To Be So Sad.flac
110 - Have You Ever Loved A Woman.flac,10 - Have You Ever Loved A Woman.flac
111 - Little Wing.flac,11 - Little Wing.flac
112 - It's Too Late.flac,12 - It's Too Late.flac
113 - Layla.flac,13 - Layla.flac
114 - Thorn Tree In The Garden.flac,14 - Thorn Tree In The Garden.flac
201 - Mean Old World.flac,01 - Mean Old World.flac
202 - Roll It Over.flac,02 - Roll It Over.flac
203 - Tell The Truth.flac,03 - Tell The Truth.flac
204 - It's Too Late.flac,04 - It's Too Late.flac
205 - Got To Get Better In A Little While.flac,05 - Got To Get Better In A Little While.flac
206 - Matchbox.flac,06 - Matchbox.flac
207 - Blues Power.flac,07 - Blues Power.flac
208 - Snake Lake Blues.flac,08 - Snake Lake Blues.flac
209 - Evil.flac,09 - Evil.flac
210 - Mean Old Frisco.flac,10 - Mean Old Frisco.flac
211 - One More Chance.flac,11 - One More Chance.flac
212 - Got To Get Better In A Little While (jam).flac,12 - Got To Get Better In A Little While (jam).flac
213 - Got To Get Better In A Little While.flac,13 - Got To Get Better In A Little While.flac
